AV Club,Left-Center,High,United States,High Credibility,Website Only,High Traffic,73
Avenue News,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,
A Voice for Men,Questionable Sources,Low,United States,Low Credibility,Website Only,Minimal Traffic,65
Awareness Act,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Website Only,Minimal Traffic,48
American Web Media (AWM),Questionable Sources,Mixed,United States,Low Credibility,Website Only,Medium Traffic,46
Axios,Left-Center,High,United States,High Credibility,Website Only,High Traffic,68
Ayr Advertiser,Least Biased,High,United Kingdom,High Credibility,Newspaper,Minimal Traffic,
Arizona Capitol Times,Left-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,64
Catholic Tribune - Arizona,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Arizona Republic,Left-Center,High,United States,High Credibility,Newspaper,High Traffic,90
Arizona Daily Sun,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,72
azfamily.com,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,64
Arizona Mirror,Left,High,United States,High Credibility,Organization/Foundation,Medium Traffic,
Babnet Tunisia,Least Biased,Mixed,Tunisia,Medium Credibility,Website Only,Medium Traffic,
Babylon Bee,Satire,,United States,N/A,Website Only,High Traffic,68
Badger Institute,Right,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,0
KBAK - Bakersfield Now,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
KBFX - Bakersfield News,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
Baldwin Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,3
Balkan Insight,Left-Center,High,United Kingdom,High Credibility,Organization/Foundation,Medium Traffic,72
Ballotpedia,Least Biased,Very High,United States,High Credibility,Organization/Foundation,High Traffic,68
WJZ - CBS Baltimore,Left-Center,High,United States,High Credibility,TV Station,High Traffic,
Baltimore City Wire,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Baltimore Sun,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,92
Baltimore City Paper,Left,Mixed,United States,High Credibility,Website Only,Medium Traffic,45
Bangkok Post,Right-Center,Mixed,Thailand,Medium Credibility,Newspaper,High Traffic,90
Bangor Daily News,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,83
Banned.Video,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,Medium Traffic,51
Baptist News Global,Left-Center,High,United States,High Credibility,Website Only,Medium Traffic,62
Bare Naked Islam,Questionable Sources,Low,United States,Low Credibility,Website Only,Minimal Traffic,62
Barrhead News,Least Biased,High,United Kingdom,High Credibility,Newspaper,Minimal Traffic,
Barrie Today,Left-Center,High,Canada,High Credibility,Website Only,Medium Traffic,
Barron's,Right-Center,High,United States,High Credibility,Magazine,High Traffic,0
Barry and District News,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,
Basingstoke Gazette,Least Biased,High,United Kingdom,High Credibility,Newspaper,Medium Traffic,
Basnews Agency,Questionable Sources,Mixed,Iraq,Low Credibility,News Agency,Medium Traffic,47
Buenos Aires Times,Right-Center,High,Argentina,High Credibility,Newspaper,Medium Traffic,0
News Source,Bias,Reporting,Country,Credibility,Media Type,Traffic,Popularity Estimate
Baton Rouge Reporter,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Battle Creek Enquirer,Left-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,66
Battle Creek Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Baxter Bulletin,Left-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,66
Bay Nature Magazine,Left-Center,High,United States,High Credibility,Magazine,Medium Traffic,
Bay State News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
BB4SP,Questionable Sources,Low,United States,Low Credibility,Website Only,Minimal Traffic,35
BBC News,Left-Center,High,United Kingdom,High Credibility,TV Station,High Traffic,97
BDNews24,Questionable Sources,Mixed,Bangladesh,Low Credibility,Website Only,High Traffic,78
Bluefield Daily Telegraph,Left-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,
Beach Broadcast News,Questionable Sources,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,0
Akron Beacon Journal,Left-Center,High,United States,High Credibility,,Medium Traffic,58
Bean Town Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Bearing Arms,Right,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,62
Beatrice Daily Sun,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,
Beavercreek News-Current,Right-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,
Becker News,Questionable Sources,Low,United States,Low Credibility,Website Only,Medium Traffic,
Before It's News,Questionable Sources,Low,United States,Low Credibility,Website Only,High Traffic,81
Behold Israel,Conspiracy-Pseudoscience,Mixed,Israel,Low Credibility,Website Only,Minimal Traffic,40
Being Liberal,Left,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,17
Being Libertarian,Right-Center,Mixed,United States,Medium Credibility,Website Only,Minimal Traffic,39
Belfer Center for Science and International Affairs,Left-Center,High,United States,High Credibility,Organization/Foundation,Medium Traffic,63
Beliefnet,Right,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,84
Bellingcat,Left-Center,Mostly Factual,United Kingdom,High Credibility,Website Only,Medium Traffic,60
Bellingham Herald,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,53
Bemidji Pioneer,Right-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,
Benton Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,3
Benzinga,Least Biased,High,United States,High Credibility,Website Only,High Traffic,
Berkeleyside,Left-Center,High,United States,High Credibility,Website Only,Medium Traffic,69
Berkshire Eagle,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,69
Berliner Zeitung,Left-Center,Mostly Factual,United States,High Credibility,Newspaper,High Traffic,58
Berlingske,Right-Center,Mostly Factual,Denmark,High Credibility,Newspaper,High Traffic,56
BestLife,Least Biased,Mostly Factual,United States,High Credibility,Website Only,High Traffic,
Best News Here,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,Medium Traffic,
The Betoota Advocate,Satire,,United States,N/A,Website Only,Medium Traffic,55
Better Government Association,Least Biased,High,United States,High Credibility,Organization/Foundation,Minimal Traffic,57
Bowling Green Daily News,Right-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,
Boy Genius Report,Left-Center,High,United States,High Credibility,Website Only,High Traffic,90
Bicester Advertiser,Least Biased,High,United Kingdom,High Credibility,Newspaper,Minimal Traffic,
Big Country 99.5 - Tulsa,Least Biased,High,United States,High Credibility,Radio Station,Minimal Traffic,
KTAB - Abilene News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
Big Government News,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,31
Big Island Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Big League Politics,Questionable Sources,Low,United States,Low Credibility,Website Only,Medium Traffic,57
Big News Network,Least Biased,Mostly Factual,United Arab Emirates,High Credibility,Website Only,Medium Traffic,73
Big Think,Least Biased,High,United States,High Credibility,Website Only,High Traffic,89
Bild,Right-Center,Mixed,Germany,Medium Credibility,Newspaper,High Traffic,82
Billings Gazette,Right-Center,High,United States,High Credibility,Newspaper,Medium Traffic,76
BillionBibles.org,Questionable Sources,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,34
BillMoyers.com,Left,Mostly Factual,United States,High Credibility,Website Only,Minimal Traffic,75
Bing News,Left-Center,High,United States,High Credibility,Website Only,High Traffic,97
Biotechnology Innovation Organization (BIO),Pro-Science,High,United States,High Credibility,Organization/Foundation,Minimal Traffic,76
BioDefense,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,27
Biography (A&E),Least Biased,High,United States,High Credibility,Website Only,High Traffic,
Biologos Foundation,Conspiracy-Pseudoscience,Mixed,United States,Low Credibility,Organization/Foundation,Medium Traffic,68
BioMedical Central (BMC),Pro-Science,High,United Kingdom,High Credibility,Organization/Foundation,High Traffic,91
BioSpace,Pro-Science,High,United States,High Credibility,Website Only,Medium Traffic,
Biotech Express Magazine,Conspiracy-Pseudoscience,Low,India,Low Credibility,Magazine,Minimal Traffic,
Bipartisan Policy Center,Right-Center,Mostly Factual,United States,High Credibility,Organization/Foundation,Minimal Traffic,64
Bipartisan Report,Questionable Sources,Low,United States,Low Credibility,Website Only,Medium Traffic,40
Birmingham Mail,Left-Center,Mostly Factual,United Kingdom,High Credibility,Newspaper,High Traffic,85
Bismarck Tribune,Least Biased,High,United States,High Credibility,Newspaper,Medium Traffic,70
Bitch Media,Left,High,United States,High Credibility,Magazine,Minimal Traffic,58
BitChute,Questionable Sources,Very Low,United Kingdom,Low Credibility,Website Only,High Traffic,66
BizPac Review,Right,Mixed,United States,Medium Credibility,Website Only,High Traffic,69
Beijing Review,Questionable Sources,Mixed,China,Low Credibility,Magazine,Minimal Traffic,48
Blabber Buzz,Right,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,32
Black Agenda Report,Left,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,65
Black America Web,Left,Mostly Factual,United States,High Credibility,,Medium Traffic,74
Black Ennterprise Magazine,Left-Center,High,United States,High Credibility,Magazine,Medium Traffic,
Black Eye Politics,Questionable Sources,Low,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,25
Black Genocide,Questionable Sources,Low,United States,Low Credibility,Website Only,Minimal Traffic,46
KEVN - Rapid City News,Least Biased,High,United States,High Credibility,TV Station,Minimal Traffic,
Black Lives Matter,Left,Mixed,United States,Medium Credibility,Organization/Foundation,Medium Traffic,83
Black Main Street,Left,Mostly Factual,United States,Medium Credibility,,No Data,32
BlackNews.com,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Medium Traffic,49
Black Pigeon Speaks,Questionable Sources,Low,United States,Low Credibility,Website Only,Medium Traffic,39
BlackPressUSA,Left-Center,High,United States,High Credibility,Website Only,Minimal Traffic,
Blckbx.tv,Conspiracy-Pseudoscience,Very Low,Netherlands,Low Credibility,Website Only,Medium Traffic,
Bleacher Report,Left-Center,Mostly Factual,United States,High Credibility,Website Only,High Traffic,91
Bleeping Computer,Least Biased,High,United States,High Credibility,Website Only,Medium Traffic,88
Bloomberg,Left-Center,Mostly Factual,United States,High Credibility,TV Station,High Traffic,92
CityLab,Left-Center,High,United States,High Credibility,Website Only,Medium Traffic,62
Bloomington Leader,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,0
Bluegrass Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Blue States Blues News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Medium Traffic,
Bluestem Prairie,Left-Center,High,United States,High Credibility,Website Only,Minimal Traffic,31
Blunt Force Truth,Questionable Sources,Low,United States,Low Credibility,Website Only,Minimal Traffic,44
The BMJ (British Medical Journal),Pro-Science,Very High,United Kingdom,High Credibility,Journal,High Traffic,94
BNC - Black News Channel,Left,Mostly Factual,United States,Medium Credibility,TV Station,Minimal Traffic,
Belleville News-Democrat,Least Biased,High,United States,High Credibility,Newspaper,Medium Traffic,76
BNO News,Least Biased,High,Netherlands,High Credibility,News Agency,Medium Traffic,65
BNR NewsRadio,Right-Center,Mostly Factual,Netherlands,High Credibility,Radio Station,Medium Traffic,
BoingBoing,Left,Mixed,United States,Medium Credibility,Website Only,High Traffic,94
Boise City Wire,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Progressive Change Campaign Committee,Left,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,57
Bongino.com,Questionable Sources,Mixed,United States,Low Credibility,Radio Station,Medium Traffic,58
BonSens,Conspiracy-Pseudoscience,Low,France,Low Credibility,Organization/Foundation,Medium Traffic,
BOOMLIVE,Right-Center,High,India,High Credibility,Website Only,Medium Traffic,
Border Counties Advertizer,Least Biased,High,United Kingdom,High Credibility,Newspaper,Minimal Traffic,
News Source,Bias,Reporting,Country,Credibility,Media Type,Traffic,Popularity Estimate
BorderReport,Least Biased,High,United States,High Credibility,Website Only,Medium Traffic,
Border Telegraph,Least Biased,High,United Kingdom,High Credibility,Newspaper,Minimal Traffic,
Borehamwood Times,Least Biased,High,United Kingdom,High Credibility,Newspaper,Minimal Traffic,
Borowitz Report,Satire,,United States,High Credibility,Magazine,High Traffic,0
Bossip,Questionable Sources,Mixed,United States,Low Credibility,Magazine,High Traffic,80
Boston.com,Left-Center,High,United States,High Credibility,Website Only,High Traffic,87
WFXT - Boston News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
Boston Broadside,Questionable Sources,Mixed,United States,Low Credibility,Newspaper,Minimal Traffic,
Boston Globe,Left-Center,High,United States,High Credibility,Newspaper,High Traffic,92
Boston Herald,Right-Center,High,United States,High Credibility,Newspaper,High Traffic,73
Boston Review,Left,High,United States,High Credibility,Magazine,Medium Traffic,75
Boulder Leader,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Bounding Into Comics,Right,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,52
Bournemouth Daily Echo,Least Biased,High,United Kingdom,High Credibility,Newspaper,High Traffic,
Bowling Green Today,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Bozeman Daily Chronicle,Least Biased,High,United States,High Credibility,Newspaper,Medium Traffic,58
Bracknell News,Least Biased,High,United Kingdom,High Credibility,Newspaper,Minimal Traffic,
Grasping Reality With Both Hands: Bradford Delong,Left,High,United States,High Credibility,Website Only,Minimal Traffic,56
Brainerd Dispatch,Right-Center,High,United States,High Credibility,Newspaper,Medium Traffic,
Braintree & Witham Times,Least Biased,High,United Kingdom,High Credibility,Newspaper,Minimal Traffic,
Brampton Guardian,Left-Center,High,Canada,High Credibility,Newspaper,Medium Traffic,0
Brand New Tube,Conspiracy-Pseudoscience,Very Low,United Kingdom,Low Credibility,Website Only,High Traffic,
Branson Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Breaking911,Questionable Sources,Very Low,Unknown or Invalid Region,Low Credibility,Website Only,Medium Traffic,54
Breaking Burgh,Satire,,United States,N/A,Website Only,Minimal Traffic,35
Breaking Christian News,Questionable Sources,Low,United States,Low Credibility,Website Only,Minimal Traffic,36
Breaking Defense,Right-Center,High,United States,High Credibility,Website Only,Medium Traffic,67
Breaking First,Questionable Sources,Low,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,19
Breakingnews247.net,Questionable Sources,Low,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,0
Breitbart,Questionable Sources,Mixed,United States,Low Credibility,Website Only,High Traffic,93
Brennan Center for Justice,Left-Center,High,United States,High Credibility,Organization/Foundation,Medium Traffic,77
Brentwood Live,Least Biased,High,United Kingdom,High Credibility,Newspaper,Minimal Traffic,
Brevard Sun,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Brewton Standard,Right-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,
Bridge Michigan,Left-Center,High,United States,High Credibility,Organization/Foundation,Medium Traffic,55
Bridgeport Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Bridgewater Mercury,Least Biased,High,United Kingdom,High Credibility,Newspaper,Minimal Traffic,
Brighteon,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,High Traffic,
BrightSide,Conspiracy-Pseudoscience,Mixed,Cyprus,Low Credibility,Website Only,High Traffic,89
Bring Me The News,Least Biased,High,United States,High Credibility,Website Only,Medium Traffic,56
Bristol Reporter,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Britain First,Questionable Sources,Low,United Kingdom,Low Credibility,Organization/Foundation,Minimal Traffic,0
Encyclopedia Britannica,Pro-Science,High,United States,High Credibility,Website Only,High Traffic,96
World Policy Institute,Left-Center,High,United States,High Credibility,Organization/Foundation,Minimal Traffic,65
Brookings Institute,Left-Center,Very High,United States,High Credibility,Organization/Foundation,Medium Traffic,69
Brownstone Institute,Right,Mixed,United States,Medium Credibility,Organization/Foundation,Medium Traffic,
WGBM - Baton Rouge News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
Brut.Media,Left,Mostly Factual,France,Medium Credibility,Website Only,Medium Traffic,
Bryan Times,Right-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,
B.T. Denmark,Right-Center,Mostly Factual,Denmark,High Credibility,Newspaper,High Traffic,61
Bucks County Standard,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
The Budapest Beacon,Left-Center,High,Hungary,High Credibility,Website Only,Minimal Traffic,48
The Buffalo Chronicle,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Medium Traffic,33
Buffalo News,Least Biased,High,United States,High Credibility,Newspaper,High Traffic,80
Bugout.news,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,,No Data,33
Bullshido,Least Biased,High,United States,High Credibility,Website Only,Minimal Traffic,56
Burnett County Sentinel,Least Biased,Mostly Factual,United States,High Credibility,Newspaper,Minimal Traffic,0
Burrard Street,Satire,,Canada,N/A,Website Only,Minimal Traffic,33
Business Standard (India),Right-Center,Mostly Factual,India,High Credibility,Newspaper,High Traffic,
Business2Community,Least Biased,Mostly Factual,United States,Medium Credibility,Website Only,Minimal Traffic,84
Business Insider,Left-Center,High,United States,High Credibility,Website Only,High Traffic,97
BusinessLIVE,Right-Center,Mixed,South Africa,Medium Credibility,Website Only,Medium Traffic,68
Bust Magazine,Left,Mostly Factual,United States,Medium Credibility,Magazine,Medium Traffic,80
Bustle Magazine,Left-Center,Mostly Factual,United States,High Credibility,Magazine,High Traffic,87
Butler County Times-Gazette,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,
Buzzfeed,Left-Center,Mixed,United States,Medium Credibility,Website Only,High Traffic,75
Buzzfeed News,Left-Center,Mostly Factual,United States,High Credibility,Website Only,High Traffic,
Byline Times,Left-Center,High,United Kingdom,High Credibility,Newspaper,Medium Traffic,
C-Span,Least Biased,Very High,United States,High Credibility,TV Station,High Traffic,92
c19aspirin.com,Questionable Sources,Mixed,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,
c19bronhexine.com,Questionable Sources,Mixed,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,
C19budesonide.com,Questionable Sources,Mixed,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,
C19colchicine.com,Questionable Sources,Mixed,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,
C19curcumin.com,Questionable Sources,Mixed,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,
CovidAnalysis Network,Questionable Sources,Mixed,Unknown or Invalid Region,Low Credibility,Website Only,Medium Traffic,
C19favipiravir.com,Questionable Sources,Mixed,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,
C19fluvoxamine.com,Questionable Sources,Mixed,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,
C19hcq.com,Questionable Sources,Mixed,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,
C19ic.com,Questionable Sources,Mixed,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,
C19Ivermectin.com,Questionable Sources,Mixed,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,
c19ly.com - Bamlanivimab,Questionable Sources,Mixed,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,
C19melatonin.com,Questionable Sources,Mixed,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,
C19mp.com - Molnupiravir,Questionable Sources,Mixed,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,
c19nitazoxanide.com,Questionable Sources,Mixed,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,
C19ns.com - Nigella Sativa,Questionable Sources,Mixed,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,
C19Proxalutamide.com,Questionable Sources,Mixed,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,
C19pvpi.com,Questionable Sources,Mixed,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,
C19Quercetin.com,Questionable Sources,Mixed,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,
C19regn.com,Questionable Sources,Mixed,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,
C19rmd.com - Remdesivir,Questionable Sources,Mixed,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,
C19sv.com,Questionable Sources,Mixed,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,
C19VitaminC.com,Questionable Sources,Mixed,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,
C19VitaminD.com,Questionable Sources,Mixed,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,
C19Zinc.com,Questionable Sources,Mixed,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,
C2C Journal,Right,Mostly Factual,Canada,Medium Credibility,Journal,Minimal Traffic,39
Center for Advanced Defense Studies,Left-Center,High,United States,High Credibility,Organization/Foundation,Minimal Traffic,46
Center for a Stateless Society,Left,Mostly Factual,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,62
Citzens Against Government Waste (CAGW),Right,Mostly Factual,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,50
Council for American-Islamic Relations (CAIR),Questionable Sources,Mixed,United States,Low Credibility,Organization/Foundation,Minimal Traffic,76
Caixin Global,Questionable Sources,Mixed,China,Low Credibility,Magazine,Medium Traffic,48
News Source,Bias,Reporting,Country,Credibility,Media Type,Traffic,Popularity Estimate
Caldron Pool,Questionable Sources,Mixed,Australia,Low Credibility,Website Only,Minimal Traffic,36
Caledon Enterprise,Left-Center,High,Canada,High Credibility,Newspaper,Minimal Traffic,
CityNews Calgary,Least Biased,High,Canada,High Credibility,Radio Station,High Traffic,
Calgary Herald,Right-Center,High,Canada,High Credibility,Newspaper,Medium Traffic,87
Calgary Sun,Right,Mostly Factual,Canada,High Credibility,Newspaper,Medium Traffic,75
California Globe,Right-Center,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,41
Corpus Christi Caller-Times,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,0
Call to Activism,Left,Mostly Factual,United States,Medium Credibility,Website Only,High Traffic,
International Organization,Least Biased,Very High,United Kingdom,High Credibility,Organization/Foundation,Minimal Traffic,84
Cambridge Times,Left-Center,High,Canada,High Credibility,Newspaper,Minimal Traffic,
Campaign for Liberty,Right-Center,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,49
Campaign Life Coalition,Right,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,37
Campbell River Mirror,Left-Center,High,Canada,High Credibility,Newspaper,Medium Traffic,
CampusInsanity.com,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,34
Campus Reform,Right,Mixed,United States,Medium Credibility,Organization/Foundation,Medium Traffic,68
Canada Fact Check,Left,Mostly Factual,Canada,Medium Credibility,Website Only,Medium Traffic,20
Canada Free Press,Questionable Sources,Low,Canada,Low Credibility,Website Only,Medium Traffic,65
Canadaland,Left-Center,High,Canada,High Credibility,Website Only,Minimal Traffic,50
Canadian Dimension,Left,Mostly Factual,Canada,Medium Credibility,Magazine,Minimal Traffic,49
The Council of Canadians,Left-Center,High,Canada,High Credibility,Organization/Foundation,Minimal Traffic,66
Cancer.news,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,39
American Cancer Society,Pro-Science,Very High,United States,High Credibility,Organization/Foundation,High Traffic,
Canon City Daily Record,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,
Cap News,Questionable Sources,Very Low,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,26
Cape Cod Ledger,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Cape Cod Times,Least Biased,High,United States,High Credibility,Newspaper,Medium Traffic,64
Cape Coral Breeze,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,
Cape News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Capital & Main,Left,High,United States,High Credibility,Website Only,Minimal Traffic,51
Capital Gazette,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,74
Capitalism Magazine,Right-Center,Mostly Factual,United States,High Credibility,Website Only,Minimal Traffic,45
Capital Research Center,Right,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,57
Capitol Fax,Least Biased,High,United States,High Credibility,Website Only,Medium Traffic,62
California Political Review,Right-Center,Mostly Factual,United States,Medium Credibility,Website Only,Minimal Traffic,40
Capstone Report,Questionable Sources,Low,United States,Low Credibility,Website Only,Minimal Traffic,
Carbon Brief,Pro-Science,High,United Kingdom,High Credibility,Organization/Foundation,Medium Traffic,
Carbondale Reporter,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Care2,Left,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,95
Caribbean Life News,Left-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,41
Christian Apologetics & Research Ministry (CARM),Conspiracy-Pseudoscience,Low,United States,Low Credibility,Organization/Foundation,Medium Traffic,76
Carnegie Endowment for International Peace,Left-Center,High,United States,High Credibility,Organization/Foundation,Medium Traffic,82
Carolina Public Press,Left-Center,High,United States,High Credibility,Organization/Foundation,Minimal Traffic,46
Carriage Towne News,Left-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,
Carroll County News,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,
Castanet,Least Biased,High,Canada,High Credibility,Website Only,High Traffic,71
Catch News,Left-Center,Mostly Factual,India,Medium Credibility,Website Only,Medium Traffic,62
Catholic Online,Conspiracy-Pseudoscience,Mixed,United States,Low Credibility,Website Only,Medium Traffic,83
Cato Institute,Right-Center,High,United States,High Credibility,Organization/Foundation,Medium Traffic,66
Regulation Magazine,Right-Center,High,United States,High Credibility,,Medium Traffic,41
CBC News,Left-Center,High,Canada,High Credibility,TV Station,High Traffic,88
Congressional Budget Office (CBO),Least Biased,Very High,United States,High Credibility,Organization/Foundation,Medium Traffic,83
Center on Budget and Policy Priorities,Left-Center,High,United States,High Credibility,Organization/Foundation,Medium Traffic,80
WPEC - CBS12.com,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,72
WNCN - Raleigh,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
KYTX - Nacogdoches News,Least Biased,High,United States,High Credibility,TV Station,Minimal Traffic,
KFXA - Waterloo News,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
KGAN Cedar Rapids News,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
WIAT - CBS 42,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WGCL - Atlanta News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WTTV - Indianapolis,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
KDBC -  El Paso News,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
WRGB - Albany,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
KOSA - CBS7,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
KFMB - San Diego News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
KEYE - Austin News,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
CBS News,Left-Center,High,United States,High Credibility,TV Station,High Traffic,87
